a,	b,	TEM mode [],
0.001,	2.85214975382444e-09,	-104.613926664442,
0.104413793103448,	3.7416779923653356e-07,	-64.2386554091801,
0.207827586206897,	1.4573038486054306e-06,	-58.2577791072919,
0.311241379310345,	3.2609602447490575e-06,	-54.74664522711,
0.414655172413793,	5.785136987667422e-06,	-52.2503519638975,
0.518068965517241,	9.034618448342692e-06,	-50.3106424729521,
0.62148275862069,	1.3034213100618548e-05,	-48.7229655329589,
0.724896551724138,	1.7787467691507146e-05,	-47.3780934188196,
0.828310344827586,	2.329438222100851e-05,	-46.2107968289898,
0.931724137931034,	2.9554956689122652e-05,	-45.1789973857078,
1.03513793103448,	3.656919109584941e-05,	-44.2539671671943,
1.13855172413793,	4.433708544118923e-05,	-43.4152183400659,
1.24196551724138,	5.28681198597127e-05,	-42.6476226604857,
1.34537931034483,	6.221351053182113e-05,	-41.9396861072051,
1.44879310344828,	7.238091423516318e-05,	-41.2824636963794,
1.55220689655172,	8.337033096973775e-05,	-40.668849098493,
1.65562068965517,	9.518176073554694e-05,	-40.0930939016338,
1.75903448275862,	0.00010781774331165355,	-39.5504730817163,
1.86244827586207,	0.00012132728949129655,	-39.0370466642043,
1.96586206896552,	0.00013572921719311697,	-38.5494864550272,
2.06927586206897,	0.00015102352641711494,	-38.0849478297031,
2.17268965517241,	0.00016723731114939893,	-37.640973305082,
2.27610344827586,	0.00018443387016198816,	-37.215418824981,
2.37951724137931,	0.00020261580779235778,	-36.806396347864,
2.48293103448276,	0.00022178892775175687,	-36.4122280297529,
2.58634482758621,	0.00024207380030050649,	-36.0314083433655,
2.68975862068966,	0.00026351842774363383,	-35.6625710384759,
2.7931724137931,	0.0002861228100811367,	-35.3044579440848,
2.89658620689655,	0.00030988694731301947,	-34.955886144135,
3.0,	0.00033481083943928,	-34.6157086551469,

