"shielding_material_thickness [um]","-dB(S(waveport1:1,waveport2:1)) []"
1,64.7842210788358
1.5,68.0977408628823
2,70.6557040460217
2.5,72.7200256585693
3,74.1856472421066
3.5,75.3552525439951
4,76.6976718608504
4.5,77.895403341916
5,78.6059527047719
5.5,79.7167192868662
6,80.2751536904267
6.5,81.4016493481315
7,81.5709229367745
7.5,82.3100108834898
8,82.9438132118918
8.5,83.3391346946271
9,83.8395259505684
9.5,84.3419191711156
10,84.7976901416597
10.5,85.4246506809942
11,85.5034066921745
11.5,86.0553552937189
12,86.6257667143528
12.5,86.645516467111
13,87.1444335102935
13.5,87.6262780224998
14,87.9854701339571
14.5,88.0904708424508
15,88.3800898106714
15.5,88.6264111502604
16,89.0453795733967
16.5,89.2596577861632
17,89.5416656643882
17.5,89.6237276705458
18,90.2743046902574
18.5,90.2399198428942
19,90.5237163948836
19.5,90.8065040293476
20,91.3433773437441
20.5,91.3135192418918
21,91.4927448132195
21.5,91.6409904309389
22,92.1092236384933
22.5,92.0671697885924
23,92.1970576459807
23.5,92.5811012554235
24,92.920624993742
24.5,92.8442572702187
25,93.3263482989729
25.5,93.5463955973196
26,93.6709112174779
26.5,93.7080427868987
27,93.9637524878149
27.5,93.9851495538671
28,94.177074695516
28.5,94.3983154463385
29,94.7395877231924
29.5,94.8296861132416
30,95.0974385605563
30.5,95.2303293065717
31,95.1182331597167
31.5,95.3998533074871
32,95.3964840227269
32.5,95.924874972856
33,95.8336412165851
33.5,95.8104703102377
34,96.1158899745281
34.5,96.1875954557851
35,96.2980952389756
35.5,96.4753721486506
36,96.3769408668354
36.5,96.5777372570195
37,96.8133499081455
37.5,96.9701744319416
38,96.8234044191007
38.5,97.2392585605361
39,97.3163780813773
39.5,97.5583777210327
40,97.6970773778942
40.5,97.8142700995168
41,98.0629404429292
41.5,97.8473578765259
42,97.8558738215048
42.5,98.0992874003512
43,98.2885829445521
43.5,98.4274185572279
44,98.3289445753047
44.5,99.0710351749416
45,98.6032035887128
45.5,98.6940197947415
46,99.0739142683267
46.5,99.0820441849623
47,99.0469012118532
47.5,99.5209987712369
48,99.5795705756514
48.5,99.7181829432136
49,99.7753291889383
49.5,99.6579297633804
50,99.8119342954374

